銘柄名,証券コード,カテゴリー
旭化成,3407,日本株
アサヒグループホールディングス,2502,日本株
アシックス,7936,日本株
味の素,2802,日本株
アステラス製薬,4503,日本株
アドバンテスト,6857,日本株
アンリツ,6754,日本株
イオン,8267,日本株
イオンモール,8905,日本株
出光興産,5019,日本株
伊藤忠商事,8001,日本株
イビデン,4062,日本株
岩谷産業,8088,日本株
INPEX,1605,日本株
UUUM,3990,日本株
ウェルスナビ,7342,日本株
エイチ・アイ・エス,9603,日本株
Appier Group,4180,日本株
ANAホールディングス,9202,日本株
エーザイ,4523,日本株
AGC,5201,日本株
Abalance,3856,日本株
エービーシー・マート,2670,日本株
SMC,6273,日本株
NTTデータグループ,9613,日本株
ENEOSホールディングス,5020,日本株
ENECHANGE,4169,日本株
エムスリー,2413,日本株
大阪チタニウムテクノロジーズ,5726,日本株
オムロン,6645,日本株
オリエンタルランド,4661,日本株
オリックス,8591,日本株
オリンパス,7733,日本株
花王,4452,日本株
カシオ計算機,6952,日本株
KADOKAWA,9468,日本株
カプコン,9697,日本株
カルビー,2229,日本株
川崎汽船,9107,日本株
かんぽ生命保険,7181,日本株
キーエンス,6861,日本株
キッコーマン,2801,日本株
キヤノン,7751,日本株
京セラ,6971,日本株
キリンホールディングス,2503,日本株
KDDI,9433,日本株
コーセー,4922,日本株
コナミグループ,9766,日本株
小林製薬,4967,日本株
小松製作所,6301,日本株
サイバーエージェント,4751,日本株
SUMCO,3436,日本株
ジェイドグループ,3558,日本株
JFEホールディングス,5411,日本株
塩野義製薬,4507,日本株
シスメックス,6869,日本株
資生堂,4911,日本株
シマノ,7309,日本株
しまむら,8227,日本株
商船三井,9104,日本株
信越化学工業,4063,日本株
スクウェア・エニックス・ホールディングス,9684,日本株
SCREENホールディングス,7735,日本株
スズキ,7269,日本株
SUBARU,7270,日本株
住友金属鉱山,5713,日本株
住友商事,8053,日本株
西武ホールディングス,9024,日本株
積水ハウス,1928,日本株
セコム,9735,日本株
セブン&アイホールディングス,3382,日本株
セルソース,4880,日本株
そーせいグループ,4565,日本株
ソニーグループ,6758,日本株
ソフトバンク,9434,日本株
ソフトバンクグループ,9984,日本株
第一三共,4568,日本株
第一生命ホールディングス,8750,日本株
ダイキン工業,6367,日本株
ダイフク,6383,日本株
太陽誘電,6976,日本株
高島屋,8233,日本株
武田薬品工業,4502,日本株
ダブル・スコープ,6619,日本株
中外製薬,4519,日本株
ディー・エヌ・エー,2432,日本株
TDK,6762,日本株
ディスコ,6146,日本株
出前館,2484,日本株
テルモ,4543,日本株
デンソー,6902,日本株
東海旅客鉄道,9022,日本株
東京エレクトロン,8035,日本株
東京海上ホールディングス,8766,日本株
東光高岳,6617,日本株
東芝,6502,日本株
東ソー,4042,日本株
東宝,9602,日本株
東邦チタニウム,5727,日本株
東レ,3402,日本株
TOTO,5332,日本株
トヨタ自動車,7203,日本株
西日本旅客鉄道,9021,日本株
ニチコン,6996,日本株
ニチレイ,2871,日本株
日産化学,4021,日本株
日産自動車,7201,日本株
日清食品ホールディングス,2897,日本株
日東電工,6988,日本株
日本製鉄,5401,日本株
日本郵政,6178,日本株
ニデック,6594,日本株
ニトリホールディングス,9843,日本株
日本M&Aセンターホールディングス,2127,日本株
日本オラクル,4716,日本株
日本航空,9201,日本株
日本たばこ産業,2914,日本株
日本電気,6701,日本株
日本電信電話,9432,日本株
日本マクドナルドホールディングス,2702,日本株
日本郵船,9101,日本株
ニューラルグループ,4056,日本株
任天堂,7974,日本株
ネクソン,3659,日本株
パナソニックホールディングス,6752,日本株
バンダイナムコホールディングス,7832,日本株
東日本旅客鉄道,9020,日本株
日立製作所,6501,日本株
ファーストリテイリング,9983,日本株
ファナック,6954,日本株
ブイキューブ,3681,日本株
富士通,6702,日本株
富士フイルムホールディングス,4901,日本株
Freee,4478,日本株
ブリヂストン,5108,日本株
プレミアアンチエイジング,4934,日本株
弁護士ドットコム,6027,日本株
HOYA,7741,日本株
本田技研工業,7267,日本株
マツダ,7261,日本株
丸紅,8002,日本株
みずほフィナンシャルグループ,8411,日本株
三井住友フィナンシャルグループ,8316,日本株
三井ハイテック,6966,日本株
三井物産,8031,日本株
三井不動産,8801,日本株
三菱ケミカルグループ,4188,日本株
三菱地所,8802,日本株
三菱自動車工業,7211,日本株
三菱重工業,7011,日本株
三菱商事,8058,日本株
三菱電機,6503,日本株
三菱UFJフィナンシャルグループ,8306,日本株
ミンカブ・ジ・インフォノイド,4436,日本株
村田製作所,6981,日本株
明治ホールディングス,2269,日本株
明電舎,6508,日本株
メドピア,6095,日本株
メルカリ,4385,日本株
MonotaRO,3064,日本株
ヤーマン,6630,日本株
安川電機,6506,日本株
ヤマダHD,9831,日本株
ヤマトホールディングス,9064,日本株
ヤマハ発動機,7272,日本株
ユーグレナ,2931,日本株
ゆうちょ銀行,7182,日本株
ユニ・チャーム,8113,日本株
LINEヤフー,4689,日本株
楽天グループ,4755,日本株
リクルートホールディングス,6098,日本株
りそなホールディングス,8308,日本株
良品計画,7453,日本株
ルネサスエレクトロニクス,6723,日本株
レーザーテック,6920,日本株
レゾナック・ホールディングス,4004,日本株
レノバ,9519,日本株
ローム,6963,日本株
ワークマン,7564,日本株
